model,checkpoint,ec,tax,split,n_generated,frac_terminated,frac_good,n_good,frac_enzymes,n_enzymes,average_accuracy_level,frac_ec_correct,n_ec_correct,ec_enrichment,frac_tax_mapped,frac_tax_correct,n_tax_correct,tax_enrichment,frac_both_correct,both_enrichment,avg_max_id,frac_70clusters,frac_90clusters,generated_ECs,both_count,ec_count,tax_count,average_prediction_similarity,similarity_to_train
ec+tax-swissprot_20240819-231401,ba21000,2.7.1.148,2.1224.1236.2887326.468.469.470,train_common,225,0.7733333333333333,0.7333333333333333,165,0.9939393939393939,164,3.975609756097561,0.9939024390243902,163,295.3920589351808,0.8475609756097561,0.8475609756097561,139,1.2525607998246395,0.8414634146341463,253.04030631841752,0.5853723231707317,0.4268292682926829,1.0,"['2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '3.1.11.2', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148']",508,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot_20240819-231401,ba21000,2.7.1.148,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.96,0.8933333333333333,201,0.9850746268656716,198,3.9343434343434343,0.9797979797979798,194,291.2001532838109,0.8888888888888888,0.005050505050505051,1,0.07410722342044983,0.005050505050505051,,0.4991905404040405,0.5404040404040404,1.0,"['2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.4.22', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.4.1.301', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '1.5.1.38', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '1.5.1.38', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148']",0,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot_20240819-231401,ba21000,2.7.1.148,2759.4890.147550.5125.5129.5543.51453,train_common,225,0.022222222222222223,0.022222222222222223,5,1.0,5,3.2,0.8,4,237.76342412451362,0.8,0.0,0,0.0,0.0,0.0,0.608891,1.0,1.0,"['2.7.1.148', '2.7.1.148', '2.7.1.148', '6.3.2.6', '2.7.1.148']",6,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot_20240819-231401,ba21000,2.7.1.148,10239.2731618.2731619.-1.2946170.10663.-1,train_common,225,0.43555555555555553,0.1511111111111111,34,1.0,34,3.5294117647058822,0.8529411764705882,29,253.4977683680476,0.9117647058823529,0.0,0,0.0,0.0,,0.3863859411764707,1.0,1.0,"['2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '1.1.1.100', '2.4.99.24', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '1.1.1.60', '2.7.1.148', '2.7.7.9', '2.7.1.148', '2.4.2.53', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148']",0,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot_20240819-231401,ba21000,2.7.13.3,2.1224.1236.2887326.468.469.470,train_common,225,0.6266666666666667,0.31555555555555553,71,0.7887323943661971,56,3.4285714285714284,0.8392857142857143,47,221.43662102146558,1.0,1.0,56,1.4778415192175605,0.8392857142857143,224.53906054540906,0.5159502857142858,0.8392857142857143,0.9107142857142857,"['2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '3.6.1.1', '2.7.13.3', '2.7.13.3', '2.4.1.250', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '3.5.1.28', '3.6.1.1', '2.7.13.3', '2.7.13.3', '2.3.1.241', '1.1.98.2', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '3.1.3.18', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '2.7.13.3', '7.5.2.6', '2.7.6.1']",571,579,,1.0,1.0
ec+tax-swissprot_20240819-231401,ba21000,2.7.13.3,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.44,0.12,27,0.5185185185185185,14,1.1428571428571428,0.07142857142857142,1,18.84566987416728,0.9285714285714286,0.07142857142857142,1,1.0480878740892188,0.0,,0.4456519285714285,1.0,1.0,"['2.7.13.3', '2.7.1.24', '2.4.99.12; 2.4.99.13', '1.4.1.1', '2.4.99.12', '6.1.1.20', '1.2.1.38', '2.5.1.61', '2.3.1.n4', '5.4.2.12', '2.7.8.7', '2.7.1.24', '1.1.1.105', '2.7.1.40']",0,579,,1.0,1.0
ec+tax-swissprot_20240819-231401,ba21000,2.7.13.3,2759.4890.147550.5125.5129.5543.51453,train_common,225,0.008888888888888889,0.0,0,0.0,0,,0.0,0,0.0,,,,,,,,,,[],8,579,,0.0,1.0
ec+tax-swissprot_20240819-231401,ba21000,2.7.13.3,10239.2731618.2731619.-1.2946170.10663.-1,train_common,225,0.2222222222222222,0.035555555555555556,8,0.625,5,0.8,0.0,0,0.0,0.2,0.0,0,0.0,0.0,,0.40686320000000004,1.0,1.0,"['7.5.2.6', '2.7.2.1', '1.1.1.300', '7.5.2.6', '2.7.2.1']",0,579,,0.6052502393722534,1.0
ec+tax-swissprot_20240819-231401,ba21000,6.1.1.15,2.1224.1236.2887326.468.469.470,train_common,225,1.0,1.0,225,1.0,225,4.0,1.0,225,290.97714285714284,0.7688888888888888,0.7688888888888888,173,1.1362959236650574,0.7688888888888888,247.80120956399435,0.8956563111111112,0.022222222222222223,0.12444444444444444,"['6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15']",474,525,,1.000000238418579,1.000000238418579
ec+tax-swissprot_20240819-231401,ba21000,6.1.1.15,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.4533333333333333,0.13777777777777778,31,0.8387096774193549,26,1.6923076923076923,0.3076923076923077,8,89.53142857142858,0.8076923076923077,0.15384615384615385,4,2.2574200364998562,0.0,0.0,0.5471313846153847,0.7692307692307693,1.0,"['2.1.1.297', '6.1.1.15', '6.1.1.15', '6.1.1.15', '1.1.1.37', '1.3.99.-', '6.1.1.15', '1.14.14.12', '6.3.5.7', '2.1.1.77', '3.2.1.10', '2.1.1.297', '6.1.1.15', '3.2.1.10', '6.1.1.15', '3.4.13.9', '6.3.2.13', '1.3.99.-', '1.1.99.14', '6.2.1.3', '6.1.1.15', '6.1.1.6', '1.1.1.26', '6.1.1.23', '6.1.1.15', '6.1.1.6']",31,525,,1.000000238418579,1.000000238418579
