run_id,key,value,step,timestamp
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.080003261566162,0,1724369311444
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.153672695159912,1,1724369314512
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.073578834533691,2,1724369317589
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.7758092880249023,3,1724369320644
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.130983829498291,4,1724369323656
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.311042785644531,5,1724369326687
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.328775882720947,6,1724369329707
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.4837422370910645,7,1724369332725
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.061460494995117,8,1724369334852
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.925062417984009,9,1724369337891
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,5.282391548156738,10,1724369340918
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.370625972747803,11,1724369343946
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.669144630432129,12,1724369346964
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.8049652576446533,13,1724369349971
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.659018039703369,14,1724369352993
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.9505562782287598,15,1724369356019
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.9534378051757812,16,1724369359046
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.9898529052734375,17,1724369362058
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.215903282165527,18,1724369365069
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.398874759674072,19,1724369368087
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.240079402923584,20,1724369371134
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.018749713897705,21,1724369377734
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.844434976577759,22,1724369380751
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,5.204060077667236,23,1724369383803
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.395211696624756,24,1724369386830
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.233191013336182,25,1724369389858
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.719322443008423,26,1724369392878
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,4.673745155334473,27,1724369395902
26871f1fe6944c54959c2c509381949a,metrics/train/loss/ar_lm_perplexity,3.8443918228149414,28,1724369398922
