model,ec,n_seqs,frac_terminated,frac_good,n_good,frac_enzymes,n_enzymes,average_accuracy_level,frac_correct,n_correct,enrichment_factor,distribution_diff,avg_max_id,frac_50clusters,frac_70clusters,frac_90clusters,generated_ECs,split,average_prediction_similarity,similarity_to_train,log enrichment,count,log count
ZymCTRL,3.4.23.39,220,1.0,0.0,0,0.0,0,,0.0,0,0.0,,,,,,[],train,0.0,1.0,-inf,1,0.0
ZymCTRL,6.3.3.5,220,1.0,0.0727272727272727,16,1.0,16,2.0625,0.0,0,0.0,,,,,,"['6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.3.3', '6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.5.5', '6.3.5.3', '6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5', '6.3.5.3', '6.3.4.16; 6.3.5.5', '6.3.4.16; 6.3.5.5']",train,0.754915177822113,0.9999999403953552,-inf,4,0.6020599913279624
ZymCTRL,1.14.13.226,220,1.0,0.1409090909090909,31,0.6129032258064516,19,2.9473684210526314,0.0,0,0.0,,,,,,"['1.14.13.231', '1.14.13.-; 1.14.13.240', '1.14.13.231', '1.14.13.231', '1.14.13.218', '1.14.13.249', '1.14.13.-; 1.14.13.240', '1.14.13.231', '1.14.13.218', '1.14.13.222', '1.14.14.83', '1.14.13.249', '1.14.13.92', '1.14.13.231', '1.14.13.249', '1.14.13.-', '1.14.13.211', '1.14.13.231', '1.14.13.231']",train,0.9088765978813172,0.9999998211860656,-inf,1,0.0
ZymCTRL,4.2.3.146,220,1.0,0.0045454545454545,1,1.0,1,3.0,0.0,0,0.0,,,,,,['4.2.3.172; 4.2.3.173'],train,0.6396521925926208,1.0000001192092896,-inf,1,0.0
ZymCTRL,3.1.1.102,220,1.0,0.009090909090909,2,1.0,2,3.0,0.0,0,0.0,,,,,,"['3.1.1.73', '3.1.1.3']",train,0.0193232856690883,1.0000001192092896,-inf,2,0.3010299956639812
ZymCTRL,2.1.1.258,220,1.0,0.059090909090909,13,1.0,13,3.0,0.0,0,0.0,,,,,,"['2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-', '2.1.1.-']",train,0.0,1.0000001192092896,-inf,6,0.7781512503836436
ZymCTRL,1.2.99.10,220,1.0,0.1545454545454545,34,1.0,34,1.8529411764705883,0.0,0,0.0,,,,,,"['1.2.5.3', '1.2.5.3', '1.2.99.8', '1.5.99.4', '1.2.5.3', '1.1.1.100', '1.2.5.3', '1.2.5.3', '1.2.5.3', '1.2.99.8', '1.2.5.3', '1.2.5.3', '1.2.5.3', '1.1.1.100', '1.17.1.5', '1.2.99.8', '1.2.5.3', '1.2.99.8', '1.1.1.100', '1.17.1.4', '1.17.1.5', '1.5.99.4', '1.2.99.8', '1.2.5.3', '1.17.2.1', '1.2.5.3', '1.2.99.8', '1.2.5.3', '1.5.99.4', '1.2.5.3', '1.2.5.3', '1.2.5.3', '1.2.5.3', '1.1.7.1']",train,0.2867073118686676,0.9999998807907104,-inf,8,0.9030899869919435
ZymCTRL,4.2.3.191,220,1.0,0.0,0,0.0,0,,0.0,0,0.0,,,,,,[],train,0.0,1.0,-inf,2,0.3010299956639812
ZymCTRL,1.3.1.102,220,1.0,0.2136363636363636,47,0.5106382978723404,24,1.1666666666666667,0.0,0,0.0,,,,,,"['1.1.1.159; 1.1.1.178; 1.1.1.239; 1.1.1.35; 1.1.1.53; 1.1.1.62', '1.1.1.102', '1.1.1.-; 1.1.1.391', '1.1.1.100', '1.1.1.269', '1.1.1.100', '1.1.1.201', '1.1.1.-; 1.1.1.391', '1.1.1.100', '1.1.1.-; 1.1.1.392', '1.1.1.269', '1.1.1.100', '1.1.1.385', '1.1.1.100', '1.1.1.100', '1.1.1.100', '1.3.1.56', '1.1.1.362', '1.1.1.102', '1.1.1.304; 1.1.1.76', '1.1.1.-; 1.1.1.392', '1.3.1.56', '1.1.1.245', '1.1.1.69']",train,0.96534264087677,0.9999998807907104,-inf,5,0.6989700043360189
ZymCTRL,2.7.1.214,220,1.0,0.1272727272727272,28,0.6785714285714286,19,3.0,0.0,0,0.0,,,,,,"['2.7.1.165', '2.7.1.202', '2.7.1.205', '2.7.1.205', '2.7.1.211', '2.7.1.202', '2.7.1.1', '2.7.1.201', '2.7.1.194', '2.7.1.194', '2.7.1.196', '2.7.1.121', '2.7.1.56', '2.7.1.202', '2.7.1.121', '2.7.1.196', '2.7.1.193', '2.7.1.83', '2.7.1.193']",train,0.7553848624229431,1.0,-inf,4,0.6020599913279624
