model,checkpoint,prompt_name,split,n_generated,frac_terminated,frac_good,n_good,frac_correct,n_correct,avg_max_id,frac_70clusters,frac_90clusters,avg_plddt
text-proteinDT-swissprot,ba21000,common_0,common,225,0.9688888888888889,0.5822222222222222,131,0.5877862595419847,77,0.5577958244274809,0.9007633587786259,0.9236641221374046,0.8398496895641475
text-proteinDT-swissprot,ba21000,common_1,common,225,0.9911111111111112,0.84,189,0.9365079365079365,177,0.6435409153439154,0.6825396825396826,0.8888888888888888,0.8511095523834229
text-proteinDT-swissprot,ba21000,common_2,common,225,0.9866666666666667,0.8355555555555556,188,0.9574468085106383,180,0.7539219361702127,0.30851063829787234,0.898936170212766,0.8382536363601685
text-proteinDT-swissprot,ba21000,common_3,common,225,0.9688888888888889,0.6977777777777778,157,0.7961783439490446,125,0.6192474140127389,0.7197452229299363,0.8089171974522293,0.8747343510389328
text-proteinDT-swissprot,ba21000,common_4,common,225,0.9955555555555555,0.4177777777777778,94,0.9468085106382979,89,0.6707737553191491,0.425531914893617,0.9574468085106383,0.8265005082226871
text-proteinDT-swissprot,ba21000,common_5,common,225,1.0,0.9955555555555555,224,1.0,224,0.7708120625000001,0.375,0.6919642857142857,0.7030811536312104
text-proteinDT-swissprot,ba21000,common_6,common,225,0.9777777777777777,0.6311111111111111,142,0.8309859154929577,118,0.5855877394366198,0.7323943661971831,0.9154929577464789,0.8511193889379501
text-proteinDT-swissprot,ba21000,common_7,common,225,0.96,0.4666666666666667,105,0.819047619047619,86,0.6420645523809525,0.6095238095238096,0.9238095238095239,0.8041191135728082
text-proteinDT-swissprot,ba21000,common_8,common,225,0.9955555555555555,0.88,198,0.9797979797979798,194,0.8043351161616161,0.16161616161616163,0.7121212121212122,0.7911709702014923
text-proteinDT-swissprot,ba21000,common_9,common,225,1.0,0.8933333333333333,201,0.9751243781094527,196,0.6293842686567165,0.7910447761194029,0.8706467661691543,0.8729889345169067
text-proteinDT-swissprot,ba21000,common_10,common,225,1.0,0.96,216,1.0,216,0.7074862731481482,0.5972222222222222,0.8009259259259259,0.6436449748277664
text-proteinDT-swissprot,ba21000,common_11,common,225,0.9777777777777777,0.40444444444444444,91,0.7802197802197802,71,0.5286737142857144,0.8791208791208791,0.9230769230769231,0.8535749702386453
text-proteinDT-swissprot,ba21000,common_12,common,225,1.0,0.9733333333333334,219,0.9726027397260274,213,0.8849789543378996,0.1689497716894977,0.4748858447488584,0.7206154254078865
text-proteinDT-swissprot,ba21000,common_13,common,225,1.0,0.9244444444444444,208,0.9278846153846154,193,0.7992484230769231,0.2932692307692308,0.7019230769230769,0.8255381208658218
text-proteinDT-swissprot,ba21000,common_14,common,225,1.0,0.8755555555555555,197,0.9847715736040609,194,0.775854923857868,0.34517766497461927,0.7360406091370558,0.5904250195622445
text-proteinDT-swissprot,ba21000,common_15,common,225,1.0,0.9866666666666667,222,0.963963963963964,214,0.8626194909909911,0.03153153153153153,0.7612612612612613,0.8283681052923203
text-proteinDT-swissprot,ba21000,common_16,common,225,0.9955555555555555,0.9022222222222223,203,0.9261083743842364,188,0.7861290985221675,0.2955665024630542,0.8177339901477833,0.8094337117671967
text-proteinDT-swissprot,ba21000,common_17,common,225,0.9777777777777777,0.7511111111111111,169,0.9585798816568047,162,0.7663491597633137,0.08875739644970414,0.8520710059171598,0.8583180314302444
text-proteinDT-swissprot,ba21000,common_18,common,225,1.0,0.9555555555555556,215,1.0,215,0.8313293581395349,0.18604651162790697,0.5581395348837209,0.7733809345960617
text-proteinDT-swissprot,ba21000,common_19,common,225,1.0,0.9155555555555556,206,0.9563106796116505,197,0.5924248834951455,0.8446601941747572,0.9805825242718447,0.7744470119476319
text-proteinDT-swissprot,ba21000,common_20,common,225,1.0,0.8933333333333333,201,0.9402985074626866,189,0.6701049950248756,0.572139303482587,0.8905472636815921,0.8772543305158615
text-proteinDT-swissprot,ba21000,common_21,common,225,1.0,0.8711111111111111,196,1.0,196,0.8618021020408162,0.14795918367346939,0.5255102040816326,0.6936894369125366
text-proteinDT-swissprot,ba21000,common_22,common,225,1.0,0.9644444444444444,217,1.0,217,0.859669400921659,0.1336405529953917,0.5714285714285714,0.6537410318851471
text-proteinDT-swissprot,ba21000,common_23,common,225,0.9822222222222222,0.7866666666666666,177,0.9491525423728814,168,0.5751924406779662,0.9209039548022598,0.9717514124293786,0.8563487595319748
text-proteinDT-swissprot,ba21000,rare_0,rare,225,0.7155555555555555,0.06222222222222222,14,0.0,0,0.4017916428571429,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_1,rare,225,0.9377777777777778,0.07555555555555556,17,0.0,0,0.399924294117647,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_2,rare,225,0.8933333333333333,0.1688888888888889,38,0.0,0,0.45009676315789476,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_3,rare,225,1.0,0.9244444444444444,208,0.07211538461538461,15,0.7080061201923078,0.22115384615384615,1.0,0.7851981520652771
text-proteinDT-swissprot,ba21000,rare_4,rare,225,0.6488888888888888,0.04,9,0.0,0,0.47657299999999997,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_5,rare,225,0.8977777777777778,0.2311111111111111,52,0.0,0,0.4124448653846154,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_6,rare,225,0.8355555555555556,0.10222222222222223,23,0.0,0,0.45528860869565224,1.0,1.0,
